Museum,Year,Income,IncomeType
Victoria and Albert Museum,2023/24,9830000,Admissions
Wallace Collection,2023/24,,Admissions
Total,2023/24,72709000,Admissions
British Museum,Notes,,Admissions
Museum of the Home,Notes,,Admissions
Horniman Museum,Notes,,Admissions
Imperial War Museums,Notes,28,Admissions
Museum of Science and Industry in Manchester,Notes,,Admissions
National Gallery,Notes,,Admissions
National Museums Liverpool,Notes,,Admissions
National Portrait Gallery,Notes,,Admissions
Natural History Museum,Notes,21313,Admissions
Royal Armouries,Notes,,Admissions
Royal Museums Greenwich,Notes,,Admissions
Science Museum Group,Notes,,Admissions
Sir John Soane's Museum,Notes,,Admissions
Tate Gallery Group,Notes,218,Admissions
Tyne and Wear Museums,Notes,,Admissions
Victoria and Albert Museum,Notes,,Admissions
Wallace Collection,Notes,,Admissions
Total,Notes,22222,Admissions
British Museum,2008/09,3600000,Trading
Museum of the Home,2008/09,-1190,Trading
Horniman Museum,2008/09,65600,Trading
Imperial War Museums,2008/09,4129000,Trading
Museum of Science and Industry in Manchester,2008/09,332532,Trading
National Gallery,2008/09,278000,Trading
National Museums Liverpool,2008/09,221000,Trading
National Portrait Gallery,2008/09,450000,Trading
Natural History Museum,2008/09,2821600,Trading
Royal Armouries,2008/09,313000,Trading
Royal Museums Greenwich,2008/09,1252590,Trading
Science Museum Group,2008/09,2285000,Trading
Sir John Soane's Museum,2008/09,242425,Trading
Tate Gallery Group,2008/09,29386000,Trading
Tyne and Wear Museums,2008/09,1295383,Trading
Victoria and Albert Museum,2008/09,8894000,Trading
Wallace Collection,2008/09,594000,Trading
Total,2008/09,56159000,Trading
British Museum,2009/10,5400000,Trading
Museum of the Home,2009/10,-13686,Trading
Horniman Museum,2009/10,68185,Trading
Imperial War Museums,2009/10,4217000,Trading
Museum of Science and Industry in Manchester,2009/10,111310,Trading
National Gallery,2009/10,273000,Trading
National Museums Liverpool,2009/10,-66112,Trading
National Portrait Gallery,2009/10,444000,Trading
Natural History Museum,2009/10,6870000,Trading
Royal Armouries,2009/10,405000,Trading
Royal Museums Greenwich,2009/10,1363811,Trading
Science Museum Group,2009/10,3323000,Trading
Sir John Soane's Museum,2009/10,272202,Trading
Tate Gallery Group,2009/10,26705000,Trading
Tyne and Wear Museums,2009/10,1289498,Trading
Victoria and Albert Museum,2009/10,10359000,Trading
Wallace Collection,2009/10,390000,Trading
Total,2009/10,61411000,Trading
British Museum,2011/12,12300000,Trading
Museum of the Home,2011/12,32043,Trading
Horniman Museum,2011/12,48574,Trading
Imperial War Museums,2011/12,3278891,Trading
Museum of Science and Industry in Manchester,2011/12,,Trading
National Gallery,2011/12,4100000,Trading
National Museums Liverpool,2011/12,615924,Trading
National Portrait Gallery,2011/12,765000,Trading
Natural History Museum,2011/12,9370000,Trading
Royal Armouries,2011/12,337000,Trading
Royal Museums Greenwich,2011/12,990000,Trading
Science Museum Group,2011/12,3822000,Trading
Sir John Soane's Museum,2011/12,277974,Trading
Tate Gallery Group,2011/12,26663000,Trading
Tyne and Wear Museums,2011/12,1203087,Trading
Victoria and Albert Museum,2011/12,12427000,Trading
Wallace Collection,2011/12,564000,Trading
Total,2011/12,76794000,Trading
British Museum,2012/13,11900000,Trading
Museum of the Home,2012/13,19026,Trading
Horniman Museum,2012/13,89417,Trading
Imperial War Museums,2012/13,3074545,Trading
Museum of Science and Industry in Manchester,2012/13,,Trading
National Gallery,2012/13,3293000,Trading
National Museums Liverpool,2012/13,909517,Trading
National Portrait Gallery,2012/13,686000,Trading
Natural History Museum,2012/13,8420000,Trading
Royal Armouries,2012/13,395256,Trading
Royal Museums Greenwich,2012/13,352000,Trading
Science Museum Group,2012/13,2956000,Trading
Sir John Soane's Museum,2012/13,98137,Trading
Tate Gallery Group,2012/13,28353000,Trading
Tyne and Wear Museums,2012/13,1035984,Trading
Victoria and Albert Museum,2012/13,1869000,Trading
Wallace Collection,2012/13,485491,Trading
Total,2012/13,63936000,Trading
British Museum,2013/14,18500000,Trading
Museum of the Home,2013/14,10178,Trading
Horniman Museum,2013/14,149804,Trading
Imperial War Museums,2013/14,2824328,Trading
Museum of Science and Industry in Manchester,2013/14,,Trading
National Gallery,2013/14,3800000,Trading
National Museums Liverpool,2013/14,1291636,Trading
National Portrait Gallery,2013/14,715000,Trading
Natural History Museum,2013/14,9610000,Trading
Royal Armouries,2013/14,385732,Trading
Royal Museums Greenwich,2013/14,781906,Trading
Science Museum Group,2013/14,3109000,Trading
Sir John Soane's Museum,2013/14,175847,Trading
Tate Gallery Group,2013/14,25886000,Trading
Tyne and Wear Museums,2013/14,1147281,Trading
Victoria and Albert Museum,2013/14,2602000,Trading
Wallace Collection,2013/14,621001,Trading
Total,2013/14,71610000,Trading
British Museum,2015/16,16400000,Trading
Museum of the Home,2015/16,47138,Trading
Horniman Museum,2015/16,220000,Trading
Imperial War Museums,2015/16,5105000,Trading
Museum of Science and Industry in Manchester,2015/16,,Trading
