Museum,Year,VisitorCount,VisitorType
Natural History Museum,2019/20,5303859,Total
Royal Armouries,2019/20,2180208,Total
Royal Museums Greenwich,2019/20,2760192,Total
Science Museum Group,2019/20,5006956,Total
Sir John Soane's Museum,2019/20,118015,Total
Tate Gallery Group,2019/20,8263828,Total
Tyne and Wear Museums,2019/20,,Total
Victoria and Albert Museum,2019/20,4080268,Total
Wallace Collection,2019/20,487017,Total
Total,2019/20,47645000,Total
British Museum,2020/21,160105,Total
Museum of the Home,2020/21,0,Total
Horniman Museum,2020/21,82025,Total
Imperial War Museums,2020/21,268770,Total
Museum of Science and Industry in Manchester,2020/21,,Total
National Coal Mining Museum,2020/21,5074,Total
National Gallery,2020/21,233817,Total
National Museums Liverpool,2020/21,221012,Total
National Portrait Gallery,2020/21,,Total
Natural History Museum,2020/21,302285,Total
Royal Armouries,2020/21,136937,Total
Royal Museums Greenwich,2020/21,111082,Total
Science Museum Group,2020/21,359952,Total
Sir John Soane's Museum,2020/21,2090,Total
Tate Gallery Group,2020/21,591001,Total
Tyne and Wear Museums,2020/21,,Total
Victoria and Albert Museum,2020/21,129772,Total
Wallace Collection,2020/21,25597,Total
Total,2020/21,2630000,Total
British Museum,2021/22,2045214,Total
Museum of the Home,2021/22,68954,Total
Horniman Museum,2021/22,331463,Total
Imperial War Museums,2021/22,1113153,Total
Museum of Science and Industry in Manchester,2021/22,,Total
National Coal Mining Museum,2021/22,40187,Total
National Gallery,2021/22,1176787,Total
National Museums Liverpool,2021/22,1389193,Total
National Portrait Gallery,2021/22,,Total
Natural History Museum,2021/22,2469002,Total
Royal Armouries,2021/22,814520,Total
Royal Museums Greenwich,2021/22,921516,Total
Science Museum Group,2021/22,2327256,Total
Sir John Soane's Museum,2021/22,50923,Total
Tate Gallery Group,2021/22,3069406,Total
Tyne and Wear Museums,2021/22,,Total
Victoria and Albert Museum,2021/22,1195493,Total
Wallace Collection,2021/22,160404,Total
Total,2021/22,17173000,Total
British Museum,2022/23,4544598,Total
Museum of the Home,2022/23,158672,Total
Horniman Museum,2022/23,714297,Total
Imperial War Museums,2022/23,1997399,Total
Museum of Science and Industry in Manchester,2022/23,,Total
National Coal Mining Museum,2022/23,74380,Total
National Gallery,2022/23,3029193,Total
National Museums Liverpool,2022/23,2350722,Total
National Portrait Gallery,2022/23,,Total
Natural History Museum,2022/23,5302096,Total
Royal Armouries,2022/23,1961415,Total
Royal Museums Greenwich,2022/23,2027651,Total
Science Museum Group,2022/23,3812118,Total
Sir John Soane's Museum,2022/23,133785,Total
Tate Gallery Group,2022/23,5992511,Total
Tyne and Wear Museums,2022/23,,Total
Victoria and Albert Museum,2022/23,2692100,Total
Wallace Collection,2022/23,313573,Total
Total,2022/23,35105000,Total
British Museum,2023/24,6159856,Total
Museum of the Home,2023/24,172462,Total
Horniman Museum,2023/24,776057,Total
Imperial War Museums,2023/24,2275388,Total
Museum of Science and Industry in Manchester,2023/24,,Total
National Coal Mining Museum,2023/24,98383,Total
National Gallery,2023/24,3097135,Total
National Museums Liverpool,2023/24,2372670,Total
National Portrait Gallery,2023/24,1552000,Total
Natural History Museum,2023/24,5956757,Total
Royal Armouries,2023/24,2323530,Total
Royal Museums Greenwich,2023/24,2578812,Total
Science Museum Group,2023/24,4299208,Total
Sir John Soane's Museum,2023/24,157938,Total
Tate Gallery Group,2023/24,6357431,Total
Tyne and Wear Museums,2023/24,,Total
Victoria and Albert Museum,2023/24,3913800,Total
Wallace Collection,2023/24,455136,Total
Total,2023/24,42547000,Total
British Museum,2008/09,723592,Under 16
Museum of the Home,2008/09,21021,Under 16
Horniman Museum,2008/09,276951,Under 16
Imperial War Museums,2008/09,580439,Under 16
Museum of Science and Industry in Manchester,2008/09,298050,Under 16
National Gallery,2008/09,518800,Under 16
National Museums Liverpool,2008/09,484180,Under 16
National Portrait Gallery,2008/09,173300,Under 16
Natural History Museum,2008/09,1131054,Under 16
Royal Armouries,2008/09,148988,Under 16
Royal Museums Greenwich,2008/09,463181,Under 16
Science Museum Group,2008/09,138851001,Under 16
Sir John Soane's Museum,2008/09,4101,Under 16
Tate Gallery Group,2008/09,1055000,Under 16
Tyne and Wear Museums,2008/09,752882236721,Under 16
Victoria and Albert Museum,2008/09,380900,Under 16
Wallace Collection,2008/09,24984,Under 16
