Museum Name,Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Science Museum Group  Total,July,385351,329804,380789,440724,422415,470422,428779,567003,494478,623294,511061,559106,557153,550265,525027
Science Museum Group  Total,August,480178,383069,552034,575119,564662,532265,527018,700678,604343,655770,676055,650874,585084,629462,635100
Science Museum Group  Total,September,243148,219557,274949,263304,269158,291458,257996,347981,321871,342870,321954,370462,315762,335893,348741
Science Museum Group  Total,October,404859,341688,419810,379986,395994,381060,384747,482608,445118,546285,488632,542072,483131,504073,506467
Science Museum Group  Total,November,258233,241696,264691,275058,295442,269391,255584,304551,357250,428881,362069,354559,340925,365716,369982
Science Museum Group  Total,December,238077,234130,292289,314098,271822,265944,225270,327027,314139,346224,316367,363884,356565,350307,335379
Science Museum Group  Total,January,236352,230984,282569,287699,283771,254258,266499,324098,312028,376020,346952,380705,371434,405959,0
Science Museum Group  Total,February,348478,368869,452262,432135,408414,384985,406730,509280,498587,632684,519670,522305,535554,501191,0
Science Museum Group  Total,March,357013,304582,342413,416083,338926,363247,318414,376134,463839,409897,424228,507747,425279,438396,0
National Coal Mining Museum ,April,13710,10518,14797,13509,10831,14372,13406,10027,13000,13600,15828,14168,11023,16726,13168
National Coal Mining Museum ,May,9812,12761,11513,11915,10210,11187,9136,9311,7000,11200,12939,16016,9969,10248,9423
National Coal Mining Museum ,June,9392,10837,8851,9579,8734,10629,9290,8607,12000,10900,10186,9990,8828,8881,9685
National Coal Mining Museum ,July,10946,12737,12743,15555,12877,12959,10595,10195,12000,10400,9902,14278,11572,12626,8847
National Coal Mining Museum ,August,15462,18217,19820,19309,20170,17887,17206,16778,28000,20605,20666,22991,19559,30601,21258
National Coal Mining Museum ,September,6748,7096,8871,8185,6299,7600,7471,7449,7000,6928,6529,7942,7825,9542,7902
National Coal Mining Museum ,October,11798,12226,12722,11398,10643,10865,10985,9129,9000,9656,9265,10813,11196,11258,8829
National Coal Mining Museum ,November,6235,7448,8064,8550,7749,6447,6710,6698,7000,7170,6343,7305,9835,6360,6265
National Coal Mining Museum ,December,5869,4758,6872,6872,5823,4865,4208,4574,6000,6873,5084,6826,6691,6019,6032
National Coal Mining Museum ,January,4432,4579,5539,5023,4841,3246,3675,3807,3000,5526,3884,5315,5954,5248,0
National Coal Mining Museum ,February,8788,10450,9738,10739,8516,9272,8036,7218,8000,13631,9475,9579,10306,9374,0
National Coal Mining Museum ,March,13361,8000,9430,15065,9493,9088,6864,7610,7800,8828,9622,13068,9174,7932,0
National Portrait Gallery,April,133680,125340,124000,112839,160389,144016,142544,112378,215490,164502,167964,151773,193482,137635,122994
National Portrait Gallery,May,141152,129486,119000,132335,151555,144249,140985,116800,215146,167044,171413,157839,166118,126646,102172
National Portrait Gallery,June,98638,106701,100000,115701,112294,135193,121817,146131,147132,147485,129194,139558,131814,104160,102200
National Portrait Gallery,July,128983,126975,130000,139595,146056,191451,176537,213201,154740,159569,182508,243430,153929,157081,138633
National Portrait Gallery,August,126555,121926,153530,150499,155925,184431,196579,223024,165005,189624,200829,234777,165740,152328,164485
National Portrait Gallery,September,101873,129882,110000,108060,126449,154613,141863,155460,145760,160013,150941,197384,126397,129681,135828
National Portrait Gallery,October,122797,157600,157000,133057,166301,183169,145058,167754,157716,161025,175449,194514,184001,130937,140856
National Portrait Gallery,November,107820,123446,170000,135824,183636,180051,132558,151383,151076,149798,183245,140077,154664,163587,113821
National Portrait Gallery,December,101770,112803,143994,121932,144823,158484,112694,146119,128875,142189,153759,119803,149365,144922,122674
National Portrait Gallery,January,119500,141127,169205,136375,189475,173142,148944,159673,168533,156052,179716,137777,176466,167709,0
National Portrait Gallery,February,150051,120144,140590,163280,135296,166534,158784,230033,198401,198377,200369,188931,144855,147861,0
National Portrait Gallery,March,136056,133198,148130,196183,161415,169131,140125,226212,206453,192771,186246,197112,132614,128998,0
Royal Armouries Total,April,54545,30202,45646,35339,27135,40110,43948,202724,182253,170634,185085,171629,168647,245634,233284
Royal Armouries Total,May,22802,21773,20839,19326,17334,23891,24868,140242,152471,193689,167797,173430,149355,180268,216075
Royal Armouries Total,June,36170,37138,24524,31354,29401,33272,36343,199722,207388,226849,236477,229886,218019,248142,302983
Royal Armouries Total,July,33359,31563,22420,36748,27156,27578,34132,189763,164563,194861,203072,200270,186757,211921,206808
