accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
409:1 to :5-1889,1889.0,O170626,Group,"Lamentation over the Dead Christ with the Virgin, St John the Evangelist and Mary Magdalene; a Pieta.",Tuscany,"Robbia, Andrea della",workshop of,ca. 1510-1515,2006BK5989,terracotta,tin glazing,,"Sculpture 1300-1600, Room 26",False,False
CIRC.518-1953,1953.0,O11166,Panel,King René's Honeymoon,,"Burne Jones, Edward Coley (Sir)",designer,ca. 1863,2006AV5562,,,,"British Galleries, Room 122d",False,False
A.92-1916,1916.0,O128840,Corbel head,,England,Unknown,,1250-1270,2009CC5593,limestone,carving,Gothic,"Medieval & Renaissance, Room 9, The Dorothy and Michael Hintze Gallery",False,False
C.52&A-1986,1986.0,O153417,Vase,Untitled container,United States,"Salomon, Judith",maker,1983,2006BF9216,,,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
5391-1858,1858.0,O127350,Statue,The Angel of the Annunciation,Venice,"Bregno, Antonio",sculptor,ca. 1440-1460,2008BT6342,Istrian stone,carving,,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
CIRC.90-1968,1968.0,O69128,Figure,The Greek Slave,Stoke-on-Trent,"Powers, Hiram",sculptor,1862,2006AM8758,,,,"British Galleries, Room 122",False,False
REPRO.1906-4,1906.0,O41244,Statue,Virgin and Child,Würzburg,Josef Semmelmayr,caster,ca. 1906,2006BK4618,plaster,cast,,"Cast Courts, The Ruddock Family Cast Court, Room 46A",False,False
A.31-1971,1971.0,O89615,Statuette,Workman with a Shovel,Paris,"Dalou, Aimé-Jules",sculptor,ca. 1894,2006AE9289,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
REPRO.1890-76,1890.0,O40899,Base,Draper's Pillar,Paris,Messrs. Jean Pouzadoux,casters,ca. 1890,2006BK4599,plaster,casting,,"Cast Courts, The Ruddock Family Cast Court, Room 46A",False,False
2627-1856,1856.0,O92621,Statuette,Running faun,France,Clodion,sculptor,1775-1800,2006BK5954,terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.8-1968,1968.0,O127123,Model,Frieze representing Greek Comedy from the ancient drama on the theatre at Covent Garden,England,"Flaxman, John",maker,1809,2021MY2346,plaster,,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.28-1928,1928.0,O107348,Relief,Nymphs dancing,Italy,"Cobaert, Jacob Cornelisz",probably,1590-1610,2006AE8115,Terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.27-1928,1928.0,O107349,Relief,Meleager and the Calydonian boar,Italy,"Cobaert, Jacob Cornelisz",probably,ca. 1560,2006AE8093,Terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
REPRO.1862-2668,1862.0,O127940,Statue,The Three Graces,Paris,Germain Pilon,sculptor,ca. 1862,2006BK4519,plaster,casting,,"Cast Courts, The Ruddock Family Cast Court, Room 46A",False,False
A.5&A-1962,1962.0,O96376,Statue,Theseus and the Minotaur,Rome,"Canova, Antonio",maker,1782,2021NB6121,marble,,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.160-1969,1969.0,O127097,Bust,"Unknown man, possibly Dr Edward Archer",England,"Wilton, Joseph",maker,1781,2021MY9123,marble,,,"Sculpture, Room 24, The Dorothy and Michael Hintze Galleries",False,False
REPRO.1868-25,1868.0,O129697,Statuette,St James the Less,England,Unknown,,ca. 1505,2010EL6063,Plaster,casting,,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
250-1876,1876.0,O90431,Statuette,River god,Florence,Giambologna,maker,ca. 1580,2006AL6111,terracotta,,,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
IM.2-1934,1934.0,O62323,Figure,Shiva Nataraja,Tamil Nadu,Unknown,,8th century-9th century,2006AX0228,Copper alloy,,Chola,"South Asian Sculpture, Room 47b",False,False
A.34-1964,1964.0,O17462,Bust,"Albert, Prince Consort",London,"Baily, Edward Hodges",sculptor,1841,2006AT8967,,,,"British Galleries, Room 123",False,False
LOAN:LON.DIOCES.FUND.1,,O311703,Relief ,Monument to Anna Rhodes,England,John (the Younger) Bacon,sculptor,ca. 1796,2012FU8751,,,,"Sculpture, Room 24, The Dorothy and Michael Hintze Galleries",False,False
REPRO.1875-16,1875.0,O40928,Statue,Count Ekkehard,Hildesheim,"Künsthardt, F.",caster,ca. 1875,2006BK4566,plaster,casting,,"Cast Courts, The Ruddock Family Cast Court, Room 46A",False,False
,2025.0,O1803104,,Summer,jingdezhen,,,2024,,porcelain,,,"Ceramics, Room 146",False,False
A.28-1939,1939.0,O89157,Statuette,St. Martin and the Beggar,Cologne,Unknown,,ca. 1320,2013GD3839,ivory,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.60-1949,1949.0,O198123,Statuette,The Virgin of the Immaculate Conception,Goa,Unknown,,ca. 1650,2006AD1316,ivory,carving,Indo-Portuguese,"South Asia Gallery, Room 41",False,False
A.6:1 to 54-2005,2005.0,O111998,Sculptural installation,Breathless,London,"Parker, Cornelia",maker,2001,2007BM8337,,,,"British Galleries, Room 121, Clore Study Area",False,False
A.9-1956,1956.0,O314131,Statuette,Hercules and Iole,Florence,"Foggini, Giovanni Battista",sculptor,c. 1691-1700,2006AE6663,bronze,,,"Sculpture, Room 117",False,False
531:1 to 42 -1905,1905.0,O113453,window,,France,Unknown,,ca. 1523-1535,2009BY8396,stone,carving,,"Medieval & Renaissance, Room 50a, The Paul and Jill Ruddock Gallery",False,False
77-1904,1904.0,O8864,Statuette,Perseus Arming,England,"Gilbert, Alfred (Sir)",sculptor,ca. 1882,2006AE9374,bronze,casting,New Sculpture Movement,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
A.40-1914,1914.0,O135949,Figure,Crouching woman,France,"Rodin, Auguste",designer and maker,ca. 1891,2006AY0011,bronze,,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
A.13-1963,1963.0,O93948,Bust,The Prophet Haggai,Siena,"Pisano, Giovanni",sculptor,ca. 1285-1297,2006AF3840,marble,,,"Medieval & Renaissance, Room 10",False,False
A.4-1989,1989.0,O110679,Statuette,Charity or Abundance,Dresden,"Permoser, Balthasar",maker,1710-1720,2006BJ4927,terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.20-1953,1953.0,O89355,Medallion,The Virgin Mary,Santiago de Compostela,Unknown,,ca. 1700-1750,2006AE9995,jet,carving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.20-1959,1959.0,O70396,Relief,Matthew Raper,England,"Le Marchand, David",carver,1720,2006AN1262,ivory,carving,,"British Galleries, Room 52, The George Levy Gallery",False,False
A.188-1969,1969.0,O66332,Monument,"Monument to Emily Georgiana, Lady Winchilsea",Rome,"Macdonald, Lawrence",sculptor,1850,2021NB6117,Carrara marble,,,"Sculpture, Room 24, The Dorothy and Michael Hintze Galleries",False,False
A.101:1-1937,1937.0,O66199,Statue group,Thetis dipping Achilles in the River Styx,England,"Banks, Thomas (RA)",maker,1789,2006AY6129,marble,,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.12-1981,1981.0,O75706,Statue,Crouching Youth,England,"Turner, Winifred",sculptors,ca. 1934,2021NA4557,,,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
A.4-2008,2008.0,O170305,Mask,Mask of a Dead Faun,Great Britain,Glyn Philpot,maker,ca. 1923,2009CE3327,bronze,casting,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
411-1889,1889.0,O170637,Statuette,Christ,Liège (province),Unknown,,c.1370-80,2006BK5894,oak,carved,,"Sculpture 1300-1600, Room 27",False,False
C.17&A-1987,1987.0,O250224,Cup and saucer,The number is two,Transjö,"Wärff, Ann",makers,1983,2006BF5831,,,20TH CONT,"Glass, Room 131",False,False
A.13:1 to 9-1973,1973.0,O11741,Model,Albert Memorial,London,"Scott, George Gilbert (Sir)",designer,ca. 1863,2006AM8771,plaster,modelling (forming),Gothic Revival,"British Galleries, Room 123",False,False
REPRO.1864-113,1864.0,O127876,Statue,St George Slaying the Dragon,Prague,George of Kolozsvás,sculptor,ca. 1864,2006AF3766,plaster,casting,,"Cast Courts, The Ruddock Family Cast Court, Room 46A",False,False
A.529-1910,1910.0,O69573,Bust,Warrior Saint,France,Unknown,made,ca. 1480-1500,2010EK6395,limestone,gilding,Late Gothic,"Sculpture 1300-1600, Room 27",False,False
A.9-1952,1952.0,O111036,Statuette,Milo of Croton,France,Unknown,,ca. 1750,2006AE6690,terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
4845-1856,1856.0,O93025,Relief,Saint James the Greater,Lower Saxony,Unknown,,ca. 1350-1360,2010EM3086,oak,relief,Gothic (Medieval),"Sculpture 1300-1600, Room 26",False,False
A.13-1961,1961.0,O93928,Bust,Cassandra Sirigatti,Florence (city),"Sirigatti, Ridolfo",made,1578,2009CT2903,marble,carved,,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
A.11-1968,1968.0,O180948,Relief,Frieze representing Milton from the Modern Drama on the theatre at Covent Garden,England,John Flaxman,designer,1809,2021MY2341,plaster,,Neo-classical,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.34-1913,1913.0,O16254,Figure,"Saint Gregory the Great, possibly",Verona,Unknown,,ca. 1320,2009CD4273,,,,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
A.33-1913,1913.0,O17200,Figure,"Saint Ambrose, possibly",Verona,Unknown,,ca. 1320,2009CD4265,,,,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
A.10-1914,1914.0,O93485,Statue,The Angel of the Annunciation,France,Unknown,,ca. 1415-1450,2009CB7427,,,,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
E.1085-1916,1916.0,O78127,Design,"Minerva with Allegorical Figures of the Arts and Sciences (sketch for the ceiling of the Banqueting House, Hampton Court Palace)",London,"Verrio, Antonio",painter,1700-1702,2006AM2254,oil paint,oil painting,Baroque,"British Galleries, Room 54",False,False
A.15-1974,1974.0,O89637,Statuette,Antinous,Rome,Zoffoli Workshop,maker,late 18th century,2006AE6569,Bronze,,,"Sculpture, Room 117",False,False
4847-1856,1856.0,O156196,Relief,The Virgin Annunciate,Lower Saxony,Unknown,,ca. 1350-60,2010EM3115,oak,carving,Gothic (Medieval),"Sculpture 1300-1600, Room 26",False,False
5390-1858,1858.0,O127349,Statue,Statue of the Virgin Annunciate,Venice,"Bregno, Antonio",sculptor,ca. 1440-1460,2008BT6345,istrian stone,carving,Renaissance,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
4846-1856,1856.0,O156183,Relief,Saint Simon,Lower Saxony,Unknown,,ca. 1350-60,2010EM3117,oak,carving,Gothic (Medieval),"Sculpture 1300-1600, Room 26",False,False
A.115-1937,1937.0,O111042,Clock,Clockcase,France,Unknown,,1750-1800,,terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
IM.127-1927,1927.0,O62299,Figure,,Coimbatore,Unknown,,10th century-11th century,,Bronze,cire perdue,Chola,"South Asian Sculpture, Room 47b",False,False
A.4:1 to 6-1960,1960.0,O9638,Statue,"Bashaw, 'the faithful friend of man'",London,"Wyatt, Matthew Cotes",workshop of,ca. 1832 - ca. 1834,2006AM6936,black marble,carving,,"British Galleries, Room 120, The Wolfson Galleries",False,False
IS.14-1986,1986.0,O449504,Coconut tree,,India,Unknown,,1985,2010EA6852,porcelain,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
171-1864,1864.0,O70080,Statuette,The Infant St John the Baptist,Granada,"Risueño, José",circle of,ca. 1700,2006BB2131,Pinewood,painting,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
175-1864,1864.0,O110014,Statuette,St Sebastian,Castile,Unknown,,ca. 1700-1750,2006AE5001,Boxwood,painting,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.28-1960,1960.0,O94288,Statue,The Virgin with the Dead Christ,Netherlands,The Master of Rimini,artist,ca. 1430,2007BM3817,alabaster,carving,,"Medieval & Renaissance, Room 10",False,False
4848-1856,1856.0,O156205,Relief,The Archangel Gabriel,Lower Saxony,Unknown,,ca. 1350-1360,2010EM3114,oak,carving,Gothic (Medieval),"Sculpture 1300-1600, Room 26",False,False
A.58:1-1921,1921.0,O113334,Altarpiece,,England,Unknown,,ca. 1350-75,2006BF8394,limestone,carving,,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
A.139-1922,1922.0,O101610,Group,Venus and Adonis,Germany,Unknown,,ca. 1750,2017KC9721,limewood,carving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
8384-1863,1863.0,O170142,Relief,The Virgin and Child with an Angel,Paris,,,ca. 1640,2015HU5326,bronze,cast,,"Europe 1600-1815, Room 5, The Friends of the V&A Gallery",False,False
5798-1859,1859.0,O16261,Statuette,,Tuscany,"Pisano, Nicola",makers,1250-1275,2008BW3358,marble,carving,,"Medieval & Renaissance, Room 10",False,False
IS.54-1985,1985.0,O84372,Figure group,Uma-Mahesvara,Nepal,Unknown,,10th century,2006AU8880,copper,casting,Licchavi,"The Himalayas and South-East Asia, Room 47a",False,False
321B-1878,1878.0,O127119,Model,Valour and Cowardice,England,"Stevens, Alfred George",maker,1866,2022ND6876,plaster,,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
IS.50-1988,1988.0,O455778,Votive figure,Mother Goddess,London,"Mistry, Dhruva (Mr.)",Artist,April 1988,2010EA6007,Clay,fired,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
CIRC.530-1976,1976.0,O19122,Dish,Fragments of painting in the form of a dish,Eton,"Baldwin, Gordon",maker,1976,2006AJ5183,stoneware,press moulding,,"Ceramics, Room 139, The Curtain Foundation Gallery",False,False
A.3-2008,2008.0,O165996,Bronze head,The Crying Child,Great Britain,Unknown,,1750-1800,2008BU3361,bronze,bronze casting,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.29-1917,1917.0,O111248,Statuette,Angel with a dead child,Paris,"Dalou, Aimé-Jules",maker,ca. 1878,2006AE9429,bronze,lost wax,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.1-1991,1991.0,O94079,Figure group,Samson and the Philistines,Florence,"Foggini, Vincenzo",sculptor,1749,2024NT2329,marble,carving,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.33-1928,1928.0,O71818,Relief,Jesse,Antwerp (City),Unknown,,1525-1530,2006AN7187,oak,carving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
4126-1854,1854.0,O110680,Model,Hercules and the Centaur,Florence,Giambologna,maker,1575-1588,2018KY5135,wax,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
"257:1, 2-1885",1885.0,O92890,Group,"Rachel, The Daughter of Laban ",England,John Thomas,sculptor,1856,2010EE2768,marble,carving,,"Corridor outside Temporary Exhibition space, room 32",False,False
A.9-2011,2011.0,O1240911,Plaquette,Moon Cow,Wolverhampton,Ron Dutton,maker,1984,2011FD2378,bronze,,British,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.10-1968,1968.0,O180927,Relief,'Shakespeare' from the 'Modern Drama' on the theatre at Covent Garden,London,"Flaxman, John",sculptor,1809,2021MY2338,plaster,cast,Neo-classical,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
C.37-2019,2019.0,O1500933,Head,,Chelsea,"Roubiliac, Louis-François",modelled by,ca. 1746-49,2019MH4737,Soft-paste porcelain,slip-casting,,"British Galleries, Room 53a",False,False
IM.101-1943,1943.0,O449294,Head,,Kausambi,Unknown,,2nd century-4th century,2010EA5851,terracotta,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
IM.59-1939,1939.0,O454439,Head,,India,Unknown,,,2010EB1457,terracotta,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
A.202-1946,1946.0,O89185,Bust,Heraclitus,London,"Lucke, Johann Christian Ludwig (von)",made,1757,2006AE9406,steatite,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
IS.269&A-1960,1960.0,O25028,Pair of throne legs,,Nepal,Unknown,,12th century,2006AK9802,Ivory,carving,,"The Himalayas and South-East Asia, Room 47a",False,False
A.33-1914,1914.0,O102916,Statue,The Age of Bronze (L'Age d'Airain),France,"Rodin, Auguste",maker,1880-1914,2006AX9988,,,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
A.42-1954,1954.0,O195868,Group,Bacchante and Cupid with Child,Paris,"Marin, Joseph-Charles",sculptor,1793,2018KU9523,terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.12-2024,2024.0,O1779657,Bust,Warrior Poet,Tuscany,Emily Young,,2011,2024NY2138,Stone,Carving,contemporary,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
534-1877,1877.0,O127062,Figure,Seated youth with pan-pipes,England,"Flaxman, John",sculptor,ca. 1824,2008BU1524,terracotta,,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
C.49-1985,1985.0,O8080,Group,Pietà,London,"Willems, Joseph",modeller,1756-1758,2006AT0108,porcelain,painting (image-making),,"British Galleries, Room 53a",False,False
A.3-2004,2004.0,O101041,Relief,The Lure of the Pan Pipes,London,"Bayes, Gilbert",maker,1932,2006AE4907,Bronze,,Art Deco,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.201-1946,1946.0,O89183,Bust,Democritus,London,"Lucke, Johann Christian Ludwig (von)",made,1757,2006AE9416,steatite,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
IM.13-1915,1915.0,O25010,Figure,"Standing Deity, possibly Shiva",Aurangabad,Unknown,,ca. 7th century,2006BF2607,,,Calyuka style,"South Asian Sculpture, Room 47b",False,False
A.30-1975,1975.0,O180967,Statuette,Little Red Riding Hood,Rome,"Gott, Joseph",made,1827,2008BU1511,terracotta,,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.7-1936,1936.0,O313118,Statuette,St. Mary Magdalen,Germany,Justus Glesker,probably,ca. 1650,2011FB4099,ivory,carving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
1892-125,1892.0,O73056,Model,Right hand of Sir Joseph Edgar Boehm,England,"Lanteri, Edouard",sculptor,ca. 1882,2006AM6476,plaster,moulding,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
REPRO.A.1916-615,1916.0,O129812,Head,Head of a man,Salisbury cathedral,Unknown,,ca. 1260 - ca. 1280,2010EA3020,Plaster,casting,gothic,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
239-1866,1866.0,O123452,Bust,La Gorgone (The Gorgon),Paris,Marcello,sculptor,ca. 1865,2024NV2814,bronze,casting,,"Sculpture, Room 21a, The Dorothy and Michael Hintze Galleries",False,False
REPRO.1872-62,1872.0,O85432,Statue,Bruges Madonna,Florence,Michelangelo,sculptor,1504-6,2006AF5139,plaster,cast,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
REPRO.A.1916-574,1916.0,O129747,Head,Head of a rustic,Salisbury Cathedral,Unknown,,ca. 1260 - ca. 1280,2010EA3017,Plaster,casting,Gothic,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
A.22-1964,1964.0,O70365,Statuette,Kneeling angel,Augsburg,"Gerhard, Hubert",sculptor,ca. 1581 - ca. 1584,2008BU7090,,,,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
95-1890,1890.0,O90899,Statuette,Standing lioness,France,"Barye, Antoine-Louis",sculptor,1890,2006AE9305,Bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
REPRO.1888-519,1888.0,O127981,Statuette,Putto with a Dolphin,Florence,"Verrocchio, Andrea del",sculptor,1465,2006AN4611,plaster,cast,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
A.52-1949,1949.0,O111109,Statuette,Winter,Italy,Unknown,,ca. 1700-1720,2006AE9379,Ivory,carving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
REPRO.1857-161,1857.0,O39861,Statue,David,Florence,Michelangelo,sculptor,1501-1504,2007BM5740,Plaster,Casting,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
A.5-1938,1938.0,O90423,Statuette,Dawn,Florence,"Van der Schardt, Johan Gregor",maker,ca. 1560 to ca. 1565,2006AL6150,,,,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
A.17-1952,1952.0,O311841,Statuette,The Crucifixion group,Swabia,Unknown,maker,about 1500,2010EJ4985,boxwood,,Late Gothic,"Sculpture 1300-1600, Room 27",False,False
A.1-2013,2013.0,O1258272,Marble bust,Lady Elizabeth Finch (1703-84),,Henrietta Finch,Sculptor,,2013GH8773,Marble,Carved,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
IS.52-1988,1988.0,O455776,Votive figure,Ganapati,London,"Mistry, Dhruva (Mr.)",Artist,April 1988,2010EA6009,Clay,fired,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
165-1864,1864.0,O103279,Statuette,Male Saint,Netherlands,Unknown,,ca. 1610,2006AE9408,Boxwood,carving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.15-1951,1951.0,O110387,Statuette,Eve,Germany,Unknown,,ca. 1700,2006AE9433,Boxwood,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.14-1951,1951.0,O110385,Statuette,Adam,Germany,Unknown,,ca. 1700,2006AE9366,Boxwood,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
REPRO.A.1916-579,1916.0,O129751,Head,Head of a man,Salisbury Cathedral,Unknown,,ca. 1260 - ca. 1280,2010EA2139,Plaster,casting,Gothic,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
REPRO.A.1916-575,1916.0,O129748,Head,Head of a young man,Salisbury cathedral,Unknown,,ca. 1260 - ca. 1280,2010EA2637,Plaster,casting,Gothic,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
7889-1862,1862.0,O77725,Bust,Queen Victoria,Stoke-on-Trent,"Marochetti, Carlo (Baron)",sculptor,1862,2006AM2809,,,,"British Galleries, Room 123",False,False
6986-1860,1860.0,O87397,Statuette,St. Peter,Germany,Unknown,,second half 16th century,2010EJ4959,alabaster,,,"Sculpture 1300-1600, Room 27",False,False
6987-1860,1860.0,O87402,Statuette,St. Paul,Germany,Unknown,,second half 16th century,2010EJ4957,alabaster,,,"Sculpture 1300-1600, Room 27",False,False
A.31-2000,2000.0,O49449,Bust,The Age of Innocence,England,"Drury, Alfred",sculptor,1897,2006AL4058,plaster,cast,,"Sculpture, Room 21a, The Dorothy and Michael Hintze Galleries",False,False
A.4-1999,1999.0,O71756,Memorial tablet,Memorial tablet commemorating Museum personnel killed in the First World War,England,Eric Gill,engraver,1919-1920,2006AM3156,,,,Cromwell Road Entrance,False,False
A.29-1954,1954.0,O110686,Plaquette,Temperance,Nuremberg,"Flötner, Peter",maker,1540-1546,2006AE9332,lead,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
REPRO.1866-21,1866.0,O40741,Electrotype,St John the Baptist,Florence,"Palma, Felice",sculptor,1618-1621,2007BM5771,copper,electrotyping,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
1028-1855,1855.0,O111034,Statuette,St John the Baptist as a Child,Florence,della Robbia,Style of,1520-1525,2015HX4151,terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.69-1980,1980.0,O89908,Medal,French Electricity and Gas,Paris,Henri Dropsy,maker,ca. 1928,2006AE9871,bronze,silvering,Art Deco,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
C.73-2008,2008.0,O297166,Form,Spring,Copenhagen (city),"Lake, Pipaluk",maker,2007,2015HU2002,glass,,,"Contemporary Glass, Room 129, The Märit Rausing Gallery",False,False
REPRO.1866-20,1866.0,O40740,Electrotype,Christ,Florence,"Palma, Felice",sculptor,1618-1621,2007BM5770,copper,electrotyping,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
A.2-2008,2008.0,O165993,Bronze head,Laughing Child,Great Britain,Unknown,,1750-1800,2008BU3357,bronze,bronze casting,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.1-1949,1949.0,O127111,Statue group,Vertumnus and Pomona,England,"Delvaux, Laurent",sculptors,ca. 1725,2021NB6128,Marble,,,"Sculpture, Room 23, The Dorothy and Michael Hintze Galleries",False,False
A.493-1910,1910.0,O88567,Plaquette,Susanna and the Elders,Nuremberg,Unknown,,1550-1575,2006AX7527,bronze,casting,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
C.4-1986,1986.0,O162492,Sculptural group,,Sweden,Unknown,,ca. 1871,2010EA9746,Earthenware,,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
938(IS),,O25164,Relief panel,King Narasimha and his spiritual advisor,Konarak,,,2nd quarter of 13th century,2006AT8559,,carving,Eastern Ganga,"South Asian Sculpture, Room 47b",False,False
REPRO.1871-59,1871.0,O128365,Architectural cast,Apprentice or Prentice Pillar,London,Giovanni Franchi,supervisor,ca. 1871,2017KN4636,Plaster,Cast,,"Cast Courts, The Ruddock Family Cast Court, Room 46A",False,False
A.49-1949,1949.0,O89206,Relief,Childhood of Jupiter,Germany,"Elhafen, Ignaz",sculptor,ca. 1697-1705/10,2006AE3906,ivory,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.6-1999,1999.0,O34734,Bust,"Daniel Finch, 2nd Earl of Nottingham and 7th Earl of Winchilsea",England,"Rysbrack, John Michael",sculptor,ca. 1723,2006AM2721,marble,,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
A.17-1973,1973.0,O117829,Statue,Virgin and Child,Kent (England),,,1170-80,2009CE2275,Caen stone,carving,,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
A.59-1951,1951.0,O96369,Statue,Putto with a Shield,Venice,"Lombardo, Pietro",style of,ca. 1500,2006AM2854,marble,,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
6994-1860,1860.0,O93086,Bust,Head of a young man,Ulm,"Erhart, Michel",maker,ca. 1480,2008BU3895,limewood,carving,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
A.1-2022,2022.0,O1614030,Statuette,Cleopatra Dying,France,"de Triqueti, Henri Baron",made,1859,2022ND6883,ivory,carved,,"Sculpture, Room 21a, The Dorothy and Michael Hintze Galleries",False,False
"REPRO.1883:1, 2-177",1883.0,O127951,Figure group,The Visitation,Florence,"della Robbia, Luca",sculptor,ca. 1445,2007BM5836,plaster,cast,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
7888-1862,1862.0,O77724,Bust,Prince Albert,Stoke-on-Trent,"Marochetti, Carlo (Baron)",sculptor,1862,2006AM2807,,,,"British Galleries, Room 123",False,False
A.4-2004,2004.0,O101067,Relief,The Lure of the Pan Pipes,London,"Bayes, Gilbert",artist,1932,2006BJ4929,Plaster,,Art Deco,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
