accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
A.22-1916,1916.0,O118261,Voussoir,,England,Unknown,,ca. 1160,2008BR8723,Caen stone,carving,,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
7563-1861,1861.0,O17216,Relief,The Annunciation,Florence,"Cambio, Arnolfo di",sculptor,ca. 1295-1302,2006BF2463,marble,carving,,"Medieval & Renaissance, Room 10",False,False
6991-1860,1860.0,O93076,Relief,Self-portrait,Florence,"Ferrucci, Francesco di Giovanni (Francesco del Tadda)",maker,ca. 1575-1576,2006AT7729,terracotta,relief,,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
370-1871,1871.0,O166591,Polyptych,The Virgin and Child,France,Unknown,,ca. 1320,2013GM2005,ivory,carving,,"Medieval & Renaissance, Room 10",False,False
2414-1856,1856.0,O122363,Figure,St Stephen,Florence,"Buglioni, Benedetto",workshop of,1500-1520,2009BY8543,terracotta,,,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
A.77-1951,1951.0,O199567,Statue,St Francis,Florence,Workshop of Andrea della Robbia,sculptor,ca. 1500-1525,2009BY4611,terracotta,moulding,,"Medieval & Renaissance, Room 10",False,False
A.17-1932,1932.0,O93803,Model,Pope Alexander VII,Rome,"Bernini, Gian Lorenzo",sculptor,ca. 1669-1670,2006AP6396,,,,"Europe 1600-1815, Room 7, The Sheikha Amna Bint Mohammed Al Thani Gallery",False,False
A.79-1946,1946.0,O70280,Panel,Head of St John the Baptist,England,Unknown,,1470-1490,2006AH3695,alabaster,carving,Medieval,"Medieval & Renaissance, Room 10",False,False
A.28-1938,1938.0,O77797,Relief,"Fragment of decoration, half length figure of Cupid",London,Unknown,,1518-1522,2006AM8993,terracotta,cast,,"British Galleries, Room 58",False,False
A.33-1910,1910.0,O93902,Relief,Virgin and Child,Florence,"Ghiberti, Lorenzo",Workshop of,ca. 1425-1450,2008BW3347,Stucco,,,"Medieval & Renaissance, Room 64a, The Robert H. Smith Gallery",False,False
A.54-1951,1951.0,O96366,Bust,Louis XIV,France,Unknown,,ca. 1660,2015HU5463,,,,"Europe 1600-1815, Room 5, The Friends of the V&A Gallery",False,False
A.1-1953,1953.0,O93920,Group,Abraham and Isaac,Germany,"Kern, Leonhard",sculptor,ca. 1620-1645,2014GW2967,ivory,,,"Europe 1600-1815, Room 6, The Lisa and Bernard Selz Gallery",False,False
