Museum number,Production date,prod_date_primary,start_year,end_year,midpoint_year,date_parse_status,Culture,Production place,Find spot
"No: 1917,0701.142",570BC-540BC (circa),570bc-540bc,-570.0,-540.0,-555.0,parsed_bc_range,Cypriot,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1816,0610.91",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
"No: 1891,0806.39",650BC-575BC,650bc-575bc,-650.0,-575.0,-612.0,parsed_bc_range,Cypro-Archaic I; Cypro-Archaic II,Made in: Cyprus,Excavated/Findspot: Salamis (historic - Cyprus)
"No: 1859,1208.1",200BC-150BC,200bc-150bc,-200.0,-150.0,-175.0,parsed_bc_range,Hellenistic,,Excavated/Findspot: Erythrae (historic)
"No: 1816,0610.96",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
"No: 1879,0712.8",300BC-250BC,300bc-250bc,-300.0,-250.0,-275.0,parsed_bc_range,Hellenistic,,
"No: 1874,0725.1",550BC (circa),550bc,-550.0,-550.0,-550.0,parsed_bc_single,East Greek,,Excavated/Findspot: Didyma (historic)
"No: 1873,0320.178",300BC-200BC,300bc-200bc,-300.0,-200.0,-250.0,parsed_bc_range,Hellenistic,Made in: Cyprus,Excavated/Findspot: Idalion
"No: 1917,0701.285",500 BC-450 BC,500bc-450bc,-500.0,-450.0,-475.0,parsed_bc_range,Cypro-Archaic II; Cypro-Classical I,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1878,1106.1",40-60,40-60,40.0,60.0,50.0,parsed_ad_range,Roman,,Excavated/Findspot: Posillipo (said to be from)
No: 91877,2500BC,2500bc,-2500.0,-2500.0,-2500.0,parsed_bc_single,Early Dynastic III,"Made in: Iraq, South",Excavated/Findspot: Abu Habba (Sippar)
"No: 1848,1020.76",390BC-380BC (circa),390bc-380bc,-390.0,-380.0,-385.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Nereid Monument (Xanthus)
No: EA125,,,-1550.0,-1069.0,-1309.5,no_date_text,New Kingdom,,Found/Acquired: Egypt
"No: 1850,0227.1",570BC-560BC,570bc-560bc,-570.0,-560.0,-565.0,parsed_bc_range,Etruscan,Made in: Vulci (?),Excavated/Findspot: Isis Tomb
No: EA60,,,-1550.0,-1292.0,-1421.0,no_date_text,18th Dynasty,,Excavated/Findspot: Karnak (Thebes)
"No: 1834,0301.1",100-150 (circa),100-150,100.0,150.0,125.0,parsed_ad_range,Roman,,Found/Acquired: Campo Iemini
"No: 1898,0716.2",490BC-470BC,490bc-470bc,-490.0,-470.0,-480.0,parsed_bc_range,Etruscan,Made in: Vulci (possibly),
"No: 1876,1125.1",50BC-50,50bc-50,-5000.0,5000.0,0.0,parsed_century_range,Roman,,Excavated/Findspot: Patras (Achaea)
No: EA461,1930BC (circa),1930bc,-1930.0,-1930.0,-1930.0,parsed_bc_single,12th Dynasty,,Excavated/Findspot: Chapel of Intef (Abydos)
"No: 1816,0610.95",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
"No: 1889,0522.2",525BC-500BC (circa),525bc-500bc,-525.0,-500.0,-512.0,parsed_bc_range,East Greek,,Excavated/Findspot: Theangela
"No: 1873,0820.1",1stC BC,1stcbc,-100.0,-1.0,-50.0,parsed_century_single,Hellenistic; Roman Imperial,,Excavated/Findspot: Satala (1872)
"No: 1838,1231.1.+",1stC,1stc,1.0,100.0,50.0,parsed_century_single,Roman,,Found/Acquired: Castel Gandolfo
No: 116388,1250BC-1200BC,1250bc-1200bc,-1250.0,-1200.0,-1225.0,parsed_bc_range,Middle Assyrian,,Excavated/Findspot: Kar-Tukulti-Ninurta (historic)
"No: 1929,0419.1",75-200 (?),75-200,75.0,200.0,138.0,parsed_ad_range,Roman,,Excavated/Findspot: Egypt
"No: 1820,0513.2",430BC-420BC (circa),430bc-420bc,-430.0,-420.0,-425.0,parsed_bc_range,Attic,Made in: Attica (Greece),Excavated/Findspot: Temple of Nemesis
"No: 1886,0324.6",470BC-450BC (circa),470bc-450bc,-470.0,-450.0,-460.0,parsed_bc_range,Western Greek,Made in: Taranto,Excavated/Findspot: Taranto (?)
"No: 1873,0320.71",550BC (circa),550bc,-550.0,-550.0,-550.0,parsed_bc_single,,Made in: Cyprus,Excavated/Findspot: Idalion
"No: 1897,0401.1561",540BC (circa),540bc,-540.0,-540.0,-540.0,parsed_bc_single,Cypro-Archaic II,Made in: Cyprus,Excavated/Findspot: Enkomi
"No: 1885,1013.24",570BC-550BC (circa),570bc-550bc,-570.0,-550.0,-560.0,parsed_bc_range,Cypro-Archaic,Made in: Cyprus,Excavated/Findspot: Byblos (historic - Phoenicia)
"No: 1848,1020.139",400BC (circa),400bc,-400.0,-400.0,-400.0,parsed_bc_single,Classical Greek,,Excavated/Findspot: Xanthus (historic)
"No: 1867,0508.115",325BC-300BC,325bc-300bc,-325.0,-300.0,-312.0,parsed_bc_range,Hellenistic,,Excavated/Findspot: Shrine of Asklepios
"No: 1864,1021.1",1stC,1stc,1.0,100.0,50.0,parsed_century_single,Roman,,Found/Acquired: Italy
No: EA54348,,,-332.0,-30.0,-181.0,no_date_text,Ptolemaic,,Found/Acquired: Egypt
No: 91667,2600BC,2600bc,-2600.0,-2600.0,-2600.0,parsed_bc_single,Early Dynastic II; Early Dynastic III,,Found/Acquired: Iraq
No: EA68,,,-1550.0,-1292.0,-1421.0,no_date_text,18th Dynasty,,Excavated/Findspot: Temple of Mut (?)
No: EA51740,2ndC-3rdC,2ndc-3rdc,101.0,300.0,200.0,parsed_century_range,Meroitic,,Excavated/Findspot: Faras (Nubia)
No: EA1197,,,-664.0,-525.0,-594.5,no_date_text,26th Dynasty,,Found/Acquired: Egypt
No: EA97,,,-380.0,-343.0,-361.5,no_date_text,30th Dynasty,,Found/Acquired: Egypt
No: EA76,,,-1550.0,-1292.0,-1421.0,no_date_text,18th Dynasty,,Excavated/Findspot: Temple of Mut
No: EA882,1126 BC - 1108 BC,1126bc-1108bc,-1126.0,-1108.0,-1117.0,parsed_bc_range,20th Dynasty,,Found/Acquired: Tomb of Ramses IX
"No: 1848,1020.81",390BC-380BC (circa),390bc-380bc,-390.0,-380.0,-385.0,parsed_bc_range,Classical Greek,Made in: Lycia (historic),Excavated/Findspot: Nereid Monument (Xanthus)
"No: 1861,1127.20",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,Excavated/Findspot: Temple of Aphrodite (Cyrene)
"No: 1884,1210.302",250 BC-100 BC,250bc-100bc,-250.0,-100.0,-175.0,parsed_bc_range,Hellenistic,Made in: Cyprus,Excavated/Findspot: Idalion
"No: 1870,0320.138",350BC-325BC (circa),350bc-325bc,-350.0,-325.0,-338.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Temple of Athena Polias (Priene)
"No: 2000,0818.1",30-50,30-50,30.0,50.0,40.0,parsed_ad_range,Roman,,Found/Acquired: Sicily (said to be from)
"No: 1922,0504.1",6thC BC(late) (circa),6thcbc,-600.0,-501.0,-550.0,parsed_century_single,Archaic Greek,,
"No: 1879,0712.9",14 (perhaps),14,14.0,14.0,14.0,parsed_ad_single,Roman,,
"No: 1816,0610.111",3rdC BC-2ndC BC,3rdcbc-2ndcbc,-300.0,-101.0,-200.0,parsed_century_range,Hellenistic,,Excavated/Findspot: Athens
No: EA60279,,,,,,no_date_text,Late Period; Ptolemaic,,Found/Acquired: Thebes (historic - Upper Egypt)
"No: 1818,0801.1",AD 1 - 100 (Based on a Greek original of about 460 BC),1-100,1.0,100.0,50.0,parsed_ad_range,Roman,,
No: 132908,6thC BC-4thC BC,6thcbc-4thcbc,-600.0,-301.0,-450.0,parsed_century_range,Phoenician,,
"No: 1972,0801.75",350BC-300BC (circa),350bc-300bc,-350.0,-300.0,-325.0,parsed_bc_range,Hellenistic,,Excavated/Findspot: Temple of Demeter (Knidos)
"No: 1805,0703.6",1stC BC-1stC (probably),1stcbc-1stc,-100.0,100.0,0.0,parsed_century_range,Roman,,Found/Acquired: Rome (city)
"No: 1848,1020.30",470BC-460BC (circa),470bc-460bc,-470.0,-460.0,-465.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Acropolis (Xanthus)
"No: 1857,1220.240",350BC (circa),350bc,-350.0,-350.0,-350.0,parsed_bc_single,Classical Greek,,Excavated/Findspot: Mausoleum (Halicarnassus)
"No: 1848,1020.140",400BC (circa),400bc,-400.0,-400.0,-400.0,parsed_bc_single,Classical Greek,,Excavated/Findspot: Xanthus (historic)
"No: 1872,0816.36",540BC-530BC,540bc-530bc,-540.0,-530.0,-535.0,parsed_bc_range,,,Excavated/Findspot: Idalion
No: EA1377,,,-1292.0,-1189.0,-1240.5,no_date_text,19th Dynasty,,Found/Acquired: Abydos (?);  Found/Acquired: Thebes (historic - Upper Egypt) (?)
No: EA1647,560BC (circa),560bc,-560.0,-560.0,-560.0,parsed_bc_single,Late Period,,Found/Acquired: Egypt
"No: 1816,0610.178",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
"No: 1886,0324.3",470BC-450BC (circa),470bc-450bc,-470.0,-450.0,-460.0,parsed_bc_range,Western Greek,Made in: Taranto,Excavated/Findspot: Taranto (?)
"No: 1978,0102.1",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Romano-British,,Excavated/Findspot: West Hill (Gloucestershire)
"No: 1816,0610.315",438BC-432BC,438bc-432bc,-438.0,-432.0,-435.0,parsed_bc_range,Classical Greek,Made in: Athens,Excavated/Findspot: Parthenon
No: EA853,,,,,,no_date_text,Ramesside,,Found/Acquired: Egypt
"No: 1848,1020.83",390BC-380BC (circa),390bc-380bc,-390.0,-380.0,-385.0,parsed_bc_range,Classical Greek,,Excavated/Findspot: Nereid Monument (Xanthus)
"No: 1872,0816.20",460BC (circa),460bc,-460.0,-460.0,-460.0,parsed_bc_single,Cypriot,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1879,0712.2",2ndC,2ndc,101.0,200.0,150.0,parsed_century_single,Roman,,Excavated/Findspot: Rome (city) (said to be from)
"No: 1886,0324.4",470BC-450BC (circa),470bc-450bc,-470.0,-450.0,-460.0,parsed_bc_range,Western Greek,Made in: Taranto,Excavated/Findspot: Taranto (?)
"No: 1870,1010.25.+",,,,,,no_date_text,Classical World,,Excavated/Findspot: Cyprus
"No: 1873,0320.3",200 BC-150 BC (circa),200bc-150bc,-200.0,-150.0,-175.0,parsed_bc_range,Hellenistic,Made in: Cyprus,Excavated/Findspot: Sanctuary of Apollo (Idalion)
"No: 1861,1127.124",1stC BC (perhaps),1stcbc,-100.0,-1.0,-50.0,parsed_century_single,Roman,,Excavated/Findspot: Temple of Apollo (Cyrene)
