RecordID,Museum,AcqDate,ObjectType,ItemDate,ModernCountry,ItemMaterial,ItemTechnique,CorrectedStartDate,CorrectedEndDate,CorrectedMidpointDate
4738,VAM,2020,Sculpture,,,ceramic,,,,
4739,VAM,2012,Statue,1702,United Kingdom,Carrara marble,Carved,1702.0,1702.0,1702.0
4742,VAM,2024,photograph,2021,,steel,sculpture,2021.0,2021.0,2021.0
4746,VAM,2023,Sculpture,2022,Denmark,glass,,2022.0,2022.0,2022.0
4761,VAM,2013,Ceramic sculpture,2013,Egypt,white earthenware,wheel thrown,2013.0,2013.0,2013.0
4771,VAM,2013,Ceramic sculpture,2012,Egypt,white earthenware,wheel thrown,2012.0,2012.0,2012.0
4777,VAM,2017,Sculptural group,1876,France,Terracotta,modelled,1876.0,1876.0,1876.0
4785,VAM,2021,Ceramic sculpture,,,,,,,
4786,VAM,2021,Ceramic sculpture,,,,,,,
4792,VAM,2016,Sculpture of Avalokiteshvara,11th century,,,,1001.0,1100.0,1050.0
4803,VAM,2013,Group,1963,,Bronze,cast,1963.0,1963.0,1963.0
4927,VAM,2005,Sculptural installation,2001,United Kingdom,,,2001.0,2001.0,2001.0
4939,VAM,2008,Mask,ca. 1923,United Kingdom,bronze,casting,1923.0,1923.0,1923.0
4973,VAM,2008,Bronze head,1750-1800,United Kingdom,bronze,bronze casting,1750.0,1800.0,1775.0
4979,VAM,2011,Plaquette,1984,,bronze,,1984.0,1984.0,1984.0
4981,VAM,2019,Head,ca. 1746-49,,Soft-paste porcelain,slip-casting,1746.0,49.0,898.0
4988,VAM,2024,Bust,2011,,Stone,Carving,2011.0,2011.0,2011.0
5008,VAM,2013,Marble bust,,,Marble,Carved,,,
5024,VAM,2008,Form,2007,,glass,,2007.0,2007.0,2007.0
5026,VAM,2008,Bronze head,1750-1800,United Kingdom,bronze,bronze casting,1750.0,1800.0,1775.0
5037,VAM,2022,Statuette,1859,France,ivory,carved,1859.0,1859.0,1859.0
5071,VAM,2017,Balancing Bowl (3),2016,United Kingdom,silver,raising,2016.0,2016.0,2016.0
5102,VAM,2008,Relief,1930,,bronze,casting,1930.0,1930.0,1930.0
5114,VAM,2016,Bust,ca. 1929,,ivory,,1929.0,1929.0,1929.0
5115,VAM,2016,Relief,ca. 1740 - ca. 1769,United Kingdom,ivory,carving,1740.0,1769.0,1754.0
5128,VAM,2024,Relief,ca. 1200,United Kingdom,walrus tusk ivory,carving,1200.0,1200.0,1200.0
5142,VAM,2012,Form,1972,,glass,mould-blown,1972.0,1972.0,1972.0
5193,VAM,2016,Head of a Dog,c.1600,Italy,Bronze,hollow-cast,1600.0,1600.0,1600.0
5220,VAM,2016,Devil's Trumpet,2016,,steel,soldering,2016.0,2016.0,2016.0
5224,VAM,2005,Form,2003,Denmark,ceramic,glazing (coating),2003.0,2003.0,2003.0
5280,VAM,2021,Relief,ca. 1696-1700,,ivory,relief,1696.0,1700.0,1698.0
5281,VAM,2016,Chair,1963,Denmark,teak,moulding,1963.0,1963.0,1963.0
5298,VAM,2014,Sculptural form,2014,Japan,Glass,,2014.0,2014.0,2014.0
5301,VAM,2023,Group,2018,United Kingdom,,welding,2018.0,2018.0,2018.0
5315,VAM,2014,Installation,1972,,glass,hand-blown,1972.0,1972.0,1972.0
5318,VAM,2009,Stele,400-600 AD,India,Sandstone,Carving,,,
5330,VAM,2005,Form,1974,United Kingdom,,,1974.0,1974.0,1974.0
5334,VAM,2017,figure,2016,United Kingdom,glass,assembled,2016.0,2016.0,2016.0
5344,VAM,2017,figure,2016,United Kingdom,acrylic gypsum fibre glass (jesmonite),lamp-working,2016.0,2016.0,2016.0
5356,VAM,2023,"Mask of Hanako, Type E Study",1912,France,,,1912.0,1912.0,1912.0
5357,VAM,2009,Medal,2009,United Kingdom,silver,struck,2009.0,2009.0,2009.0
5366,VAM,2008,Statuette,1700-1705,,silver,casting,1700.0,1705.0,1702.0
5382,VAM,2017,'Shadow' pendant,1974,Italy,Silver,Casting,1974.0,1974.0,1974.0
5400,VAM,2013,Figure,1635,,tin-glazed earthenware,painted,1635.0,1635.0,1635.0
5404,VAM,2009,Form,2008,,,,2008.0,2008.0,2008.0
5408,VAM,2024,Ring,1967,,gold,,1967.0,1967.0,1967.0
5442,VAM,2009,Figure,,,,,,,
5448,VAM,2017,Bust,,,Terracotta,cast,,,
5475,VAM,2013,Sculptural form,2013,United Kingdom,porcelain and stoneware mixed,hand-building,2013.0,2013.0,2013.0
5503,VAM,2012,Figure,ca. 1908-1919,,,,1908.0,1919.0,1914.0
5512,VAM,2006,Bra,1970,United Kingdom,brass,hammered,1970.0,1970.0,1970.0
5531,VAM,2005,Photograph,1867-1868,India,albumen,,1867.0,1868.0,1868.0
5546,VAM,2008,Double bowl,2008,United Kingdom,silver,soldering,2008.0,2008.0,2008.0
5641,VAM,2008,Bonbonniere,ca. 1800,Italy,mosaic glass,micromosaic,1800.0,1800.0,1800.0
5795,VAM,2013,statuette,1630-1640,,Alabaster,Carved,1630.0,1640.0,1635.0
5818,VAM,2013,Ring,1980,United Kingdom,fine silver,carving,1980.0,1980.0,1980.0
5821,VAM,2016,White Ghost,2009,Germany,borosilicate glass,kiln,2009.0,2009.0,2009.0
5870,VAM,2007,Figure,early 20th century,India,wood,,1901.0,2000.0,1950.0
5873,VAM,2010,Relief,ca. 1500,United Kingdom,alabaster,carved,1500.0,1500.0,1500.0
6045,VAM,2014,Breakfast Bouquet,2010,Germany,silver,folding,2010.0,2010.0,2010.0
6098,VAM,2009,Group,ca. 1935 - ca. 1940,,ivory,carving,1935.0,1940.0,1938.0
6109,VAM,2016,Relief,ca. 1740-69,United Kingdom,ivory,carving,1740.0,69.0,904.0
6204,VAM,2006,Bust,,,bronze,,,,
6208,VAM,2007,Shrine,early 20th century,,copper alloy,casting,1901.0,2000.0,1950.0
6217,VAM,2024,Brooch,1998,United States,papier-mâché,painting,1998.0,1998.0,1998.0
6221,VAM,2007,Bangle,ca. 1925,France,Brass,,1925.0,1925.0,1925.0
6225,VAM,2018,Balcony railing,2013-2014,United Kingdom,bronze,forging,2013.0,2014.0,2014.0
6227,VAM,2024,Brooch,2022,,titanium,stone-setting,2022.0,2022.0,2022.0
6280,VAM,2011,Relief,1796,Italy,Marble,Carved,1796.0,1796.0,1796.0
6324,VAM,2024,Brooch,1998,United States,papier-mâché,jewellery-making,1998.0,1998.0,1998.0
6332,VAM,2024,Brooch,1998,United States,,,1998.0,1998.0,1998.0
6340,VAM,2008,Mosaic picture,ca. 1800,Italy,mosaic glass,micromosaic,1800.0,1800.0,1800.0
6346,VAM,2007,Earring,ca. 1870,,gold,stone-cutting,1870.0,1870.0,1870.0
6379,VAM,2010,Candlestick,1744-1745,United Kingdom,silver,casting,1744.0,1745.0,1744.0
6381,VAM,2012,Medal,2006,,brass,,2006.0,2006.0,2006.0
6385,VAM,2005,Relief,after 1894,United Kingdom,bronze,cast,1894.0,1894.0,1894.0
6400,VAM,2008,Statuette,1700-1705,,silver,casting,1700.0,1705.0,1702.0
6439,VAM,2005,Figure,16th century,,Bronze,Gilding,1501.0,1600.0,1550.0
6444,VAM,2007,Ring,1991,United Kingdom,,,1991.0,1991.0,1991.0
6449,VAM,2010,Figure,2009,,earthenware,,2009.0,2009.0,2009.0
6458,VAM,2017,Photograph,c. 1897,,photographic paper,platinum process,1897.0,1897.0,1897.0
6485,VAM,2007,Pendant,ca. 1880,United States,gold,,1880.0,1880.0,1880.0
6487,VAM,2009,Figure group,1794,France,porcelain,,1794.0,1794.0,1794.0
6488,VAM,2005,Print,1998,,cloth,sewing,1998.0,1998.0,1998.0
6499,VAM,2013,Door stop,1848,United Kingdom,cast iron,casting,1848.0,1848.0,1848.0
6514,VAM,2005,Fire basket,1930,United Kingdom,iron,casting,1930.0,1930.0,1930.0
6518,VAM,2006,Brooch,1969,United Kingdom,gold,,1969.0,1969.0,1969.0
6548,VAM,2012,Installation,2011,,Earthenware,,2011.0,2011.0,2011.0
6550,VAM,2023,Photograph,ca. 1897,,photographic paper,photography,1897.0,1897.0,1897.0
6558,VAM,2017,Aumbry door,1956,,aluminium,casting,1956.0,1956.0,1956.0
6567,VAM,2007,Pot,ca. 2006,,stoneware,glazed,2006.0,2006.0,2006.0
6595,VAM,2016,Ring and case,2015,United Kingdom,gold,,2015.0,2015.0,2015.0
