RecordID,Museum,LocalID,AcqDate,ObjectType,ItemDate,StartDate,EndDate,MidpointDate,ItemPlace,ModernCountry,Culture,ItemMaterial,ItemTechnique
01470,BM,"No: 1988,1008.1",1988,figure,1563,1563.0,1563.0,1563.0,,China,Ming dynasty; Jiajing,bronze,
01471,BM,"No: 1873,0820.262.a",1873,figure; urn,500BC-480BC (circa),-500.0,-480.0,-490.0,Capua,Italy,Etrusco-Campanian; Archaic Period (Etruscan),bronze,
01472,BM,"No: 1939,0119.2",1939,figure; belt,2ndC BC-1stC BC (circa),-200.0,-1.0,-100.0,,,,terracotta,slipped; painted
01473,BM,"No: 1914,1117.1",1914,figure,400BC-330BC,-400.0,-330.0,-365.0,,Greece,Classical Greek,bronze,
01474,BM,"No: 1833,1109.7",1833,figure,18thC-19thC,1701.0,1900.0,1800.0,,India,,bronze,
01475,BM,"No: 2022,3034.176",2022,figure,4thC BC- 1stC BC,-400.0,-1.0,-200.0,China,China,Warring States period; Western Han dynasty,jade; cinnabar,pierced; polished (?)
01476,BM,"No: 1824,0431.6",1824,figure,2ndC BC-1stC BC,-200.0,-1.0,-100.0,,Greece,Hellenistic,bronze,
01477,BM,"No: 1903,1215.6",1903,figure,600BC-400BC,-600.0,-400.0,-500.0,Cyprus,Cyprus,Cypro-Classical; Cypro-Archaic II,terracotta,mould-made; handmade; painted
01478,BM,"No: 1893,0915.1.a",1893,figure,1stC(late) BC-1stC(early),-100.0,100.0,0.0,Myrina,Turkey,Hellenistic; Roman Imperial,terracotta,
01479,BM,"No: 1870,1008.128",1870,figure,1400BC-1060BC,-1400.0,-1060.0,-1230.0,Greece,Greece,Late Helladic III,terracotta,
01480,BM,"No: 1898,0225.1",1898,figure,500BC-450BC (circa),-500.0,-450.0,-475.0,,Greece,Archaic Greek,bronze,
01481,BM,"No: 1890,0923.16",1890,figure,200-225 (circa),200.0,225.0,212.0,Gaul,France,Roman,silver,
01482,BM,"No: 1859,1228.64",1859,figure,10thC,901.0,1000.0,950.0,Java,Indonesia,,bronze,cast
01483,BM,No: EA62211,1929,figure,,,,,,Egypt,Badarian,pottery,
01484,BM,No: EA29414,1897,figure,,-664.0,-332.0,-498.0,,Egypt,Late Period,copper alloy; gold,solid-cast; inlaid
01485,BM,"No: 1940,0716.2",1940,figure,17thC-18thC,1601.0,1800.0,1700.0,,,,bronze,
01486,BM,"No: 1980,0728.102",1980,figure,1662-1722,1662.0,1722.0,1692.0,Dehua,China,Qing dynasty,porcelain,moulded; glazed
01487,BM,No: 1880.499,,figure,1stC-2ndC,1.0,200.0,100.0,,India,,earthenware,
01488,BM,No: 1880.133,,figure,18thC-19thC,1701.0,1900.0,1800.0,,China,,bronze; gold,gilded
01489,BM,"No: 1905,1218.2",1905,figure,6thC (second quarter),501.0,600.0,550.0,Buddam,,Buddhist,bronze,cast
01490,BM,"No: 1926,0930.35",1926,figure,1stC-2ndC,1.0,200.0,100.0,Egypt,Egypt,Roman,terracotta,mould-made; painted
01491,BM,"No: 1757,0815.25.a",1757,figure,1stC,1.0,100.0,50.0,,Italy,Roman,bronze,
